,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
774,2024-09-17T21:53:20.457Z,12.8216,-44.6485,10.0,4.5,mb,11.0,204.0,11.0,0.81,us,us6000nt2u,2024-09-22T03:25:17.040Z,northern Mid-Atlantic Ridge,earthquake,9.36,2.004,0.181,9.0,reviewed,us,us
778,2024-09-17T18:31:57.014Z,-8.1469,147.3166,14.709,4.6,mb,42.0,117.0,1.259,0.64,us,us6000nss3,2024-09-22T18:33:52.040Z,"93 km NNW of Kokoda, Papua New Guinea",earthquake,7.67,4.674,0.107,26.0,reviewed,us,us
779,2024-09-17T17:57:00.474Z,45.2696,151.054,94.193,4.4,mb,29.0,100.0,6.008,0.65,us,us6000nt2s,2024-09-19T22:00:42.040Z,"249 km E of Kuril’sk, Russia",earthquake,14.22,7.657,0.144,14.0,reviewed,us,us
782,2024-09-17T17:22:07.273Z,-24.5594,-13.6005,10.0,4.9,mb,35.0,51.0,28.175,0.73,us,us6000nsrp,2024-09-19T21:49:22.040Z,southern Mid-Atlantic Ridge,earthquake,12.18,1.812,0.108,27.0,reviewed,us,us
784,2024-09-17T14:28:05.887Z,37.6376,71.6502,46.197,4.7,mb,196.0,41.0,1.841,0.72,us,us7000neha,2024-09-17T16:00:36.040Z,"18 km NNE of Khorugh, Tajikistan",earthquake,5.59,5.216,0.042,174.0,reviewed,us,us
785,2024-09-17T14:23:16.325Z,-2.7416,141.9235,18.868,4.9,mb,43.0,53.0,1.24,0.62,us,us7000neh9,2024-09-17T17:32:29.040Z,"64 km NW of Aitape, Papua New Guinea",earthquake,5.52,4.544,0.091,42.0,reviewed,us,us
786,2024-09-17T12:09:47.235Z,8.7365,126.3825,40.922,4.6,mb,71.0,105.0,1.837,0.44,us,us6000nt2h,2024-09-24T11:59:34.040Z,"12 km SE of Marihatag, Philippines",earthquake,10.28,6.909,0.071,60.0,reviewed,us,us
787,2024-09-17T11:56:27.300Z,55.7366,161.3732,105.305,4.8,mb,134.0,93.0,3.151,0.87,us,us7000negt,2024-09-17T12:32:12.040Z,"72 km SSE of Klyuchi, Russia",earthquake,9.16,6.903,0.025,484.0,reviewed,us,us
789,2024-09-17T09:00:39.071Z,-30.7782,-178.5325,112.256,5.0,mb,30.0,127.0,1.602,1.39,us,us7000neg5,2024-09-17T09:19:46.040Z,"Kermadec Islands, New Zealand",earthquake,14.39,9.524,0.103,30.0,reviewed,us,us
790,2024-09-17T08:35:00.374Z,-54.56,158.7145,10.0,4.8,mb,31.0,122.0,0.145,0.77,us,us7000neg0,2024-09-17T09:24:47.040Z,Macquarie Island region,earthquake,10.62,1.848,0.116,23.0,reviewed,us,us
791,2024-09-17T08:33:00.573Z,43.6579,88.0798,10.0,4.9,mb,80.0,45.0,4.423,1.15,us,us7000nefx,2024-09-17T09:10:51.040Z,"41 km ESE of Ürümqi, China",earthquake,8.3,1.885,0.056,124.0,reviewed,us,us
792,2024-09-17T06:40:58.293Z,-5.0024,129.9207,119.626,5.1,mb,12.0,186.0,0.477,0.45,us,us6000nt2p,2024-09-21T09:06:22.040Z,"214 km SSE of Amahai, Indonesia",earthquake,9.66,14.837,0.201,8.0,reviewed,us,us
795,2024-09-17T05:14:23.621Z,-4.873,103.0084,64.857,4.4,mb,13.0,180.0,0.512,0.62,us,us6000nt2a,2024-09-21T08:11:59.040Z,"97 km SSW of Pagar Alam, Indonesia",earthquake,9.94,5.933,0.179,9.0,reviewed,us,us
797,2024-09-17T04:54:17.783Z,-23.0912,169.9188,10.0,4.6,mb,30.0,142.0,2.33,0.7,us,us7000neex,2024-09-20T04:31:17.040Z,"252 km E of Vao, New Caledonia",earthquake,10.26,1.891,0.126,19.0,reviewed,us,us
799,2024-09-17T04:22:58.135Z,8.9213,90.5837,10.0,4.6,mb,39.0,103.0,9.713,0.6,us,us6000nt2g,2024-09-20T03:15:31.040Z,"Nicobar Islands, India region",earthquake,5.63,1.854,0.141,15.0,reviewed,us,us
801,2024-09-17T04:13:32.094Z,9.6569,126.5963,35.0,4.9,mb,77.0,37.0,2.76,0.59,us,us7000neel,2024-09-20T03:02:01.040Z,"54 km ESE of Union, Philippines",earthquake,9.18,1.795,0.059,92.0,reviewed,us,us
805,2024-09-17T02:55:13.291Z,-2.9031,141.8699,35.0,4.9,mb,48.0,78.0,1.228,0.69,us,us7000nee1,2024-09-20T02:06:00.040Z,"59 km WNW of Aitape, Papua New Guinea",earthquake,9.15,1.859,0.086,42.0,reviewed,us,us
807,2024-09-17T02:33:30.988Z,-6.416,154.6522,35.0,4.4,mb,19.0,123.0,3.351,0.96,us,us6000nt28,2024-09-20T01:49:38.040Z,"92 km W of Panguna, Papua New Guinea",earthquake,6.94,1.917,0.17,10.0,reviewed,us,us
808,2024-09-17T02:03:31.930Z,46.2028,152.4922,35.0,4.5,mb,27.0,180.0,7.691,0.42,us,us6000nt27,2024-09-20T00:31:47.040Z,Kuril Islands,earthquake,12.09,1.981,0.15,13.0,reviewed,us,us
811,2024-09-17T01:31:16.551Z,-25.6798,-179.607,447.127,4.7,mb,68.0,76.0,3.852,0.81,us,us7000nedh,2024-09-19T23:19:47.040Z,south of the Fiji Islands,earthquake,12.02,6.313,0.058,91.0,reviewed,us,us
812,2024-09-17T00:49:42.183Z,32.411,-102.057,6.1279,5.1,ml,24.0,38.0,0.0,0.1,tx,tx2024shcj,2024-10-06T00:59:52.781Z,"2024 North of Tarzan, Texas Earthquake",earthquake,0.3981616478802514,1.1197002263204534,0.2,36.0,reviewed,tx,tx
813,2024-09-17T00:28:05.448Z,-5.4609,152.8348,20.342,4.9,mb,51.0,89.0,6.856,0.93,us,us7000necu,2024-09-17T01:16:26.040Z,"138 km SSE of Kokopo, Papua New Guinea",earthquake,11.84,5.829,0.077,53.0,reviewed,us,us
815,2024-09-16T23:41:58.093Z,-18.8622,-69.4969,111.696,4.5,mb,29.0,98.0,0.524,0.87,us,us7000necn,2024-09-16T23:56:22.040Z,"50 km N of Camiña, Chile",earthquake,5.17,6.425,0.124,19.0,reviewed,us,us
823,2024-09-16T18:42:47.641Z,-23.5277,-179.9046,524.158,4.5,mb,48.0,64.0,5.052,0.99,us,us7000neat,2024-10-04T16:55:08.783Z,south of the Fiji Islands,earthquake,13.85,8.067,0.082,44.0,reviewed,us,us
826,2024-09-16T18:13:02.065Z,52.5116,-178.9489,249.13,4.6,mb,65.0,47.0,0.699,0.71,us,us7000neam,2024-10-04T16:36:39.040Z,"173 km WNW of Adak, Alaska",earthquake,9.44,5.697,0.046,141.0,reviewed,us,us
827,2024-09-16T18:11:59.626Z,12.9863,144.1792,10.0,4.9,mww,51.0,92.0,2.727,0.6,us,us7000nean,2024-10-04T16:50:16.213Z,"61 km WSW of Merizo Village, Guam",earthquake,8.8,1.877,0.086,13.0,reviewed,us,us
828,2024-09-16T16:53:09.977Z,-2.4802,138.9879,32.827,4.9,mb,65.0,60.0,1.714,0.79,us,us7000nea5,2024-09-26T17:01:19.040Z,"183 km W of Abepura, Indonesia",earthquake,7.59,4.723,0.068,68.0,reviewed,us,us
830,2024-09-16T16:01:20.189Z,52.3018,-173.8357,89.858,4.5,mb,118.0,108.0,0.139,0.59,us,us7000ne9g,2024-09-26T16:28:02.778Z,"27 km ENE of Atka, Alaska",earthquake,8.58,2.925,0.041,172.0,reviewed,us,us
832,2024-09-16T14:40:21.768Z,45.5663,26.2679,132.923,5.2,mww,164.0,19.0,0.239,0.95,us,us7000ne92,2024-09-26T16:02:57.040Z,"8 km N of Cașoca, Romania",earthquake,6.19,3.633,0.053,34.0,reviewed,us,us
833,2024-09-16T14:25:40.327Z,31.6066,131.7437,10.0,4.8,mb,74.0,89.0,1.106,0.89,us,us7000ne90,2024-09-26T15:47:49.483Z,"35 km E of Nichinan, Japan",earthquake,6.29,1.849,0.067,69.0,reviewed,us,us
834,2024-09-16T14:20:27.645Z,-5.6992,150.3637,112.288,4.5,mb,34.0,81.0,2.158,0.98,us,us7000ng9d,2024-09-26T15:42:32.040Z,"29 km ESE of Kimbe, Papua New Guinea",earthquake,6.13,6.551,0.116,22.0,reviewed,us,us
835,2024-09-16T14:13:47.647Z,31.6491,131.7649,18.134,5.5,mww,126.0,43.0,1.129,1.12,us,us7000ne8y,2024-10-07T19:17:05.426Z,"38 km E of Nichinan, Japan",earthquake,5.2,3.289,0.098,10.0,reviewed,us,us
837,2024-09-16T13:47:39.536Z,0.4987,126.744,68.067,4.5,mb,21.0,67.0,0.679,1.33,us,us7000ng9c,2024-09-26T15:05:15.040Z,"78 km WSW of Ternate, Indonesia",earthquake,8.05,7.824,0.191,9.0,reviewed,us,us
838,2024-09-16T13:00:03.395Z,1.0036,127.687,35.0,4.6,mb,23.0,120.0,0.394,0.75,us,us7000ng9b,2024-09-30T11:38:29.040Z,"32 km NNE of Sofifi, Indonesia",earthquake,12.39,1.942,0.122,20.0,reviewed,us,us
839,2024-09-16T12:27:37.594Z,-47.255,165.8622,39.944,4.4,mb,34.0,111.0,1.226,0.73,us,us7000ne8g,2024-09-30T11:03:57.040Z,"192 km WSW of Riverton, New Zealand",earthquake,10.93,8.909,0.19,11.0,reviewed,us,us
840,2024-09-16T11:54:41.395Z,-0.5386,127.8584,8.969,4.4,mb,13.0,139.0,1.391,0.56,us,us7000ng9a,2024-09-30T12:24:03.040Z,"43 km ENE of Labuha, Indonesia",earthquake,7.42,6.917,0.22,6.0,reviewed,us,us
842,2024-09-16T11:36:34.522Z,17.1539,147.2254,31.0,6.3,mww,134.0,33.0,2.35,1.11,us,us7000ne84,2024-10-08T11:46:37.141Z,"266 km NE of Saipan, Northern Mariana Islands",earthquake,8.58,1.878,0.043,52.0,reviewed,us,us
844,2024-09-16T11:18:08.746Z,51.9293,160.4824,33.0,4.4,mb,10.0,134.0,1.567,1.0,us,us7000ng99,2024-09-30T07:08:43.040Z,"178 km SE of Petropavlovsk-Kamchatsky, Russia",earthquake,5.41,1.966,0.268,4.0,reviewed,us,us
847,2024-09-16T10:23:39.542Z,-41.2291,-91.0118,10.0,5.0,mb,50.0,106.0,13.355,1.03,us,us7000ne7v,2024-09-16T14:07:58.040Z,southeast of Easter Island,earthquake,12.93,1.886,0.045,159.0,reviewed,us,us
853,2024-09-16T05:12:18.097Z,-20.7996,169.3861,24.669,5.4,mww,61.0,72.0,2.551,0.99,us,us7000ne6s,2024-09-17T05:16:49.871Z,"139 km S of Isangel, Vanuatu",earthquake,9.45,5.124,0.069,20.0,reviewed,us,us
854,2024-09-16T04:37:33.594Z,-21.8117,169.4533,10.0,4.5,mb,27.0,115.0,2.023,0.55,us,us7000ng94,2024-10-02T03:33:21.040Z,"165 km E of Tadine, New Caledonia",earthquake,6.08,1.838,0.156,12.0,reviewed,us,us
855,2024-09-16T04:31:12.323Z,47.6052,154.1903,35.0,4.6,mb,69.0,104.0,5.948,0.46,us,us7000ne6i,2024-10-02T03:24:55.040Z,Kuril Islands,earthquake,10.54,1.874,0.055,98.0,reviewed,us,us
856,2024-09-16T03:47:41.378Z,15.3738,145.9641,107.002,4.6,mb,43.0,49.0,0.215,0.61,us,us7000ne6d,2024-10-02T03:18:45.310Z,"28 km NE of Saipan, Northern Mariana Islands",earthquake,12.03,3.822,0.058,90.0,reviewed,us,us
857,2024-09-16T03:29:07.348Z,12.4664,123.5979,10.0,4.9,mww,55.0,107.0,15.035,0.79,us,us7000ne6b,2024-10-02T03:11:50.105Z,"6 km NNE of Bulo, Philippines",earthquake,12.78,1.837,0.11,8.0,reviewed,us,us
860,2024-09-16T01:43:25.217Z,51.3979,-130.841,10.0,4.7,mwr,81.0,151.0,0.923,0.76,us,us7000ne5y,2024-10-02T02:52:33.446Z,"278 km WNW of Port McNeill, Canada",earthquake,4.92,1.851,0.078,16.0,reviewed,us,us
865,2024-09-15T22:22:48.323Z,51.5827,-130.6302,6.037,6.5,mww,173.0,40.0,0.793,0.6,us,us7000ne51,2024-10-08T05:52:47.069Z,"271 km WNW of Port McNeill, Canada",earthquake,3.98,2.853,0.025,150.0,reviewed,us,us
869,2024-09-15T20:56:52.216Z,-48.2796,107.113,10.0,4.5,mb,34.0,82.0,17.129,0.52,us,us7000ng8v,2024-09-27T15:15:56.040Z,southeast Indian Ridge,earthquake,8.91,1.85,0.103,28.0,reviewed,us,us
875,2024-09-15T18:34:49.430Z,-41.9717,178.4898,17.805,4.6,mb,35.0,152.0,2.126,0.78,us,us7000ne3p,2024-09-27T17:03:09.040Z,"224 km ESE of Castlepoint, New Zealand",earthquake,8.76,5.299,0.132,17.0,reviewed,us,us
878,2024-09-15T16:59:14.768Z,-26.4179,-175.4903,10.0,4.7,mb,27.0,76.0,3.549,1.09,us,us7000ng8x,2024-09-26T16:05:53.040Z,south of Tonga,earthquake,10.58,1.861,0.123,22.0,reviewed,us,us
879,2024-09-15T16:51:31.396Z,35.8737,140.1249,74.527,4.6,mb,42.0,133.0,1.687,0.57,us,us7000ne37,2024-09-26T16:12:18.352Z,"4 km SE of Toride, Japan",earthquake,7.54,6.973,0.095,33.0,reviewed,us,us
887,2024-09-15T13:08:08.287Z,1.3429,118.4805,6.526,5.5,mww,91.0,58.0,2.312,0.83,us,us7000ne1t,2024-10-07T19:06:45.684Z,"173 km NE of Bontang, Indonesia",earthquake,6.47,3.116,0.052,35.0,reviewed,us,us
888,2024-09-15T12:57:20.577Z,-15.6165,-70.2045,225.926,4.5,mb,29.0,147.0,2.081,1.25,us,us7000ne1s,2024-09-29T09:05:30.040Z,"9 km NW of Atuncolla, Peru",earthquake,9.11,5.578,0.132,17.0,reviewed,us,us
889,2024-09-15T12:41:03.320Z,52.1035,-179.7526,169.614,5.0,mww,258.0,49.0,0.396,0.93,us,us7000ne1l,2024-10-08T13:46:27.924Z,"215 km W of Adak, Alaska",earthquake,6.93,3.428,0.05,38.0,reviewed,us,us
890,2024-09-15T12:35:18.086Z,-2.7429,141.8242,11.477,4.5,mb,27.0,59.0,1.143,1.1,us,us7000ne1k,2024-09-29T08:48:01.040Z,"58 km E of Vanimo, Papua New Guinea",earthquake,7.17,4.932,0.128,19.0,reviewed,us,us
891,2024-09-15T12:01:59.076Z,-59.7809,-25.9623,35.064,4.4,mb,13.0,139.0,15.094,0.47,us,us7000ng8n,2024-09-28T12:45:13.040Z,South Sandwich Islands region,earthquake,19.18,9.309,0.154,12.0,reviewed,us,us
892,2024-09-15T11:47:34.859Z,-25.7343,-179.5836,417.676,4.4,mb,38.0,99.0,3.793,0.91,us,us7000ne17,2024-09-29T08:21:12.040Z,south of the Fiji Islands,earthquake,12.69,6.48,0.05,114.0,reviewed,us,us
893,2024-09-15T11:42:49.979Z,31.5569,131.7598,40.957,4.5,mb,19.0,219.0,1.117,0.7,us,us7000ng89,2024-09-28T10:31:52.040Z,"37 km E of Nichinan, Japan",earthquake,8.78,11.494,0.18,10.0,reviewed,us,us
894,2024-09-15T11:29:21.955Z,-8.6408,-74.7628,137.527,4.4,mb,50.0,110.0,2.229,0.91,us,us7000ne12,2024-09-29T07:45:34.040Z,"15 km NNW of Honoria, Peru",earthquake,5.18,7.991,0.06,80.0,reviewed,us,us
896,2024-09-15T11:15:17.681Z,-4.0637,141.7238,108.308,4.9,mb,32.0,88.0,1.846,0.88,us,us7000ne10,2024-09-29T07:38:14.040Z,"122 km W of Ambunti, Papua New Guinea",earthquake,7.99,6.698,0.112,25.0,reviewed,us,us
900,2024-09-15T09:54:33.651Z,-7.3907,106.6451,49.686,5.0,mww,79.0,56.0,0.999,0.92,us,us7000ne03,2024-09-29T07:01:03.759Z,"45 km SSE of Pelabuhanratu, Indonesia",earthquake,3.44,6.316,0.093,11.0,reviewed,us,us
903,2024-09-15T08:17:02.988Z,40.8723,84.2291,10.0,4.7,mb,79.0,74.0,4.298,0.68,us,us7000ndzf,2024-10-06T12:09:21.040Z,"143 km SE of Kuqa, China",earthquake,7.44,1.829,0.069,63.0,reviewed,us,us
904,2024-09-15T08:07:51.294Z,-17.4095,167.769,47.604,4.9,mb,44.0,40.0,4.541,0.97,us,us7000ndzi,2024-10-06T11:55:23.105Z,"68 km WNW of Port-Vila, Vanuatu",earthquake,8.08,4.128,0.091,38.0,reviewed,us,us
909,2024-09-15T05:16:08.086Z,13.1845,-89.8242,56.752,4.7,mb,221.0,129.0,0.593,0.56,us,us7000ndxj,2024-09-15T12:33:29.586Z,"45 km S of Acajutla, El Salvador",earthquake,5.52,5.632,0.025,487.0,reviewed,us,us
911,2024-09-15T04:58:36.474Z,13.2732,-89.7691,57.284,5.2,mww,98.0,112.0,0.49,1.16,us,us7000ndx1,2024-10-08T13:36:16.040Z,"35 km S of Acajutla, El Salvador",earthquake,6.03,4.945,0.053,34.0,reviewed,us,us
913,2024-09-15T04:35:08.349Z,25.9292,125.0997,167.192,4.4,mb,30.0,135.0,1.731,0.78,us,us7000ndwr,2024-09-15T05:17:36.040Z,"126 km N of Hirara, Japan",earthquake,4.81,12.829,0.095,32.0,reviewed,us,us
915,2024-09-15T04:13:39.096Z,22.5936,144.1446,33.92,4.6,mb,57.0,78.0,4.823,0.86,us,us7000ng84,2024-09-26T02:01:36.040Z,"Volcano Islands, Japan region",earthquake,9.42,4.971,0.092,38.0,reviewed,us,us
916,2024-09-15T03:34:50.975Z,-6.9253,154.8764,10.0,4.4,mb,35.0,51.0,3.849,0.95,us,us7000ng80,2024-09-26T01:31:48.040Z,"95 km SW of Panguna, Papua New Guinea",earthquake,7.13,1.696,0.118,22.0,reviewed,us,us
917,2024-09-15T02:54:59.218Z,-27.3943,-67.2098,141.194,4.8,mww,72.0,29.0,2.797,1.11,us,us7000ndvy,2024-09-15T03:13:04.040Z,"25 km NW of La Puerta de San José, Argentina",earthquake,6.27,5.736,0.063,24.0,reviewed,us,us
919,2024-09-15T02:00:16.390Z,13.1729,-89.8703,45.523,4.6,mb,74.0,142.0,0.63,0.98,us,us7000ndvl,2024-09-15T05:33:58.365Z,"46 km S of Acajutla, El Salvador",earthquake,6.95,7.054,0.029,369.0,reviewed,us,us
921,2024-09-15T01:42:00.054Z,25.9698,128.4673,17.403,4.5,mb,27.0,79.0,0.88,1.05,us,us7000ng7y,2024-09-26T01:09:39.040Z,"71 km SE of Katsuren-haebaru, Japan",earthquake,4.78,5.436,0.15,13.0,reviewed,us,us
926,2024-09-14T21:37:37.572Z,1.8765,99.0249,128.062,5.1,mb,146.0,43.0,0.818,0.9,us,us7000ndur,2024-10-05T02:21:34.401Z,"31 km ENE of Sibolga, Indonesia",earthquake,2.66,4.737,0.052,119.0,reviewed,us,us
928,2024-09-14T19:49:32.310Z,-4.6881,101.8316,40.862,4.4,mb,29.0,155.0,1.167,0.9,us,us7000ndue,2024-09-14T21:45:53.040Z,"109 km SSW of Bengkulu, Indonesia",earthquake,10.64,8.663,0.126,18.0,reviewed,us,us
929,2024-09-14T19:40:57.795Z,38.4694,142.1149,44.186,4.7,mb,52.0,135.0,2.455,0.65,us,us7000nduc,2024-09-14T21:36:53.040Z,"58 km E of Onagawa Chō, Japan",earthquake,9.71,7.539,0.073,58.0,reviewed,us,us
933,2024-09-14T18:21:42.777Z,29.9671,82.1727,17.214,4.4,mb,28.0,83.0,3.476,0.75,us,us7000ndu2,2024-09-14T20:17:51.040Z,"76 km N of Jumla, Nepal",earthquake,8.24,5.05,0.117,22.0,reviewed,us,us
941,2024-09-14T11:41:32.523Z,13.0321,144.1907,10.0,5.5,mww,64.0,59.0,2.684,0.84,us,us7000ndsf,2024-10-06T11:51:41.107Z,"57 km WSW of Merizo Village, Guam",earthquake,4.42,1.871,0.056,31.0,reviewed,us,us
944,2024-09-14T10:56:45.448Z,6.213,92.2149,10.0,4.9,mb,59.0,139.0,4.809,0.78,us,us7000nds7,2024-10-06T12:13:29.040Z,"Nicobar Islands, India region",earthquake,10.33,1.894,0.071,62.0,reviewed,us,us
953,2024-09-14T04:46:07.123Z,42.7119,142.6005,110.211,4.4,mb,60.0,94.0,0.809,0.6,us,us7000ndqy,2024-09-14T05:18:49.040Z,"35 km SSE of Shimukappu, Japan",earthquake,7.96,5.219,0.066,67.0,reviewed,us,us
957,2024-09-14T03:20:32.305Z,-34.2363,-178.9524,10.0,5.0,mb,35.0,79.0,3.995,0.79,us,us7000ndqm,2024-09-14T03:45:49.040Z,south of the Kermadec Islands,earthquake,10.7,1.83,0.111,33.0,reviewed,us,us
958,2024-09-14T03:08:01.343Z,11.0748,138.7083,10.0,4.7,mb,28.0,126.0,13.645,0.7,us,us7000ndqz,2024-09-14T12:26:48.772Z,"183 km NNE of Colonia, Micronesia",earthquake,14.81,1.894,0.104,28.0,reviewed,us,us
960,2024-09-14T02:03:00.796Z,-15.2992,168.1535,12.264,5.1,mww,54.0,101.0,6.389,0.8,us,us7000ndq3,2024-10-08T12:06:51.040Z,"109 km ENE of Luganville, Vanuatu",earthquake,8.22,4.875,0.11,8.0,reviewed,us,us
961,2024-09-14T01:31:07.648Z,-8.8371,115.4638,115.533,4.6,mb,21.0,74.0,1.347,0.84,us,us7000ndpv,2024-09-21T11:23:59.131Z,"25 km E of Nusa Dua, Indonesia",earthquake,7.91,7.391,0.141,16.0,reviewed,us,us
962,2024-09-13T23:59:34.961Z,23.9365,123.3157,39.742,4.9,mb,100.0,88.0,0.597,0.65,us,us7000ndpm,2024-10-07T23:20:57.524Z,"66 km SSE of Yonakuni, Japan",earthquake,5.09,5.801,0.066,73.0,reviewed,us,us
964,2024-09-13T23:03:40.794Z,29.8062,130.9105,26.133,5.7,mww,303.0,18.0,1.743,0.48,us,us7000ndp6,2024-10-07T18:10:05.023Z,"59 km SE of Koshima, Japan",earthquake,6.41,3.426,0.048,42.0,reviewed,us,us
966,2024-09-13T22:01:47.977Z,17.8693,119.7185,10.0,4.7,mb,72.0,113.0,5.086,0.7,us,us7000ndp1,2024-10-07T02:38:00.040Z,"71 km WNW of Puro Pinget, Philippines",earthquake,11.66,1.885,0.072,58.0,reviewed,us,us
967,2024-09-13T22:00:03.171Z,-9.1722,110.332,35.0,4.7,mb,62.0,48.0,2.112,0.71,us,us7000ndns,2024-10-07T02:26:15.040Z,"134 km S of Pundong, Indonesia",earthquake,3.14,1.86,0.079,49.0,reviewed,us,us
968,2024-09-13T21:59:29.816Z,39.8938,141.2935,93.136,4.4,mb,28.0,164.0,0.912,0.83,us,us7000ndnt,2024-10-07T02:12:40.040Z,"14 km E of Hachimantai, Japan",earthquake,4.26,8.604,0.148,14.0,reviewed,us,us
969,2024-09-13T21:21:09.216Z,13.0997,-89.9087,35.0,4.9,mww,141.0,149.0,0.71,0.79,us,us7000ndnm,2024-10-07T02:05:54.807Z,"55 km S of Acajutla, El Salvador",earthquake,4.86,1.917,0.061,26.0,reviewed,us,us
970,2024-09-13T20:46:40.191Z,47.0477,152.8778,66.729,4.4,mb,84.0,164.0,6.812,0.53,us,us7000ndnb,2024-09-13T21:58:34.040Z,Kuril Islands,earthquake,10.93,7.844,0.065,72.0,reviewed,us,us
971,2024-09-13T18:51:47.774Z,-6.4131,148.7031,77.104,4.7,mb,82.0,106.0,3.342,0.81,us,us7000ndmk,2024-09-13T19:33:25.040Z,"96 km E of Finschhafen, Papua New Guinea",earthquake,8.82,7.029,0.066,75.0,reviewed,us,us
972,2024-09-13T18:29:54.200Z,31.5125,86.5605,17.731,4.9,mb,116.0,35.0,3.864,0.65,us,us7000ndmh,2024-09-14T18:42:14.671Z,"274 km NNE of Saga, China",earthquake,9.07,4.046,0.051,129.0,reviewed,us,us
974,2024-09-13T17:32:15.692Z,41.2202,78.3458,13.745,4.4,mb,58.0,128.0,0.651,0.97,us,us7000ndlx,2024-09-13T21:45:42.040Z,"127 km SSE of Kyzyl-Suu, Kyrgyzstan",earthquake,4.06,4.479,0.083,44.0,reviewed,us,us
975,2024-09-13T17:31:24.012Z,4.9502,126.7695,64.535,4.7,mb,100.0,83.0,2.416,0.65,us,us7000ndlv,2024-09-13T19:00:10.040Z,"153 km ESE of Sarangani, Philippines",earthquake,7.98,7.326,0.056,104.0,reviewed,us,us
976,2024-09-13T17:19:49.577Z,-9.2629,110.3796,35.0,4.6,mb,72.0,57.0,2.2,1.02,us,us7000ndlt,2024-09-13T18:10:46.040Z,"145 km S of Pundong, Indonesia",earthquake,6.31,1.899,0.07,69.0,reviewed,us,us
977,2024-09-13T15:15:10.396Z,-13.4652,-74.7429,88.926,4.8,mb,31.0,131.0,2.52,0.94,us,us7000ndl4,2024-09-27T15:38:32.040Z,"28 km NW of Vilcanchos, Peru",earthquake,10.03,8.12,0.045,155.0,reviewed,us,us
978,2024-09-13T12:27:23.480Z,33.6788,85.299,10.0,4.6,mb,51.0,92.0,5.86,0.82,us,us7000ndi0,2024-10-07T02:09:31.040Z,western Xizang,earthquake,10.15,1.905,0.097,32.0,reviewed,us,us
983,2024-09-13T10:01:08.259Z,33.7848,82.1484,10.0,4.6,mb,81.0,73.0,6.544,0.77,us,us7000ndhb,2024-09-13T11:10:13.040Z,"297 km S of Aqqan, China",earthquake,2.94,1.862,0.073,60.0,reviewed,us,us
984,2024-09-13T09:48:46.240Z,-18.0215,-178.609,617.128,4.4,mb,34.0,66.0,3.191,0.87,us,us7000ndh8,2024-09-15T09:41:23.040Z,"219 km E of Levuka, Fiji",earthquake,15.55,11.148,0.112,23.0,reviewed,us,us
985,2024-09-13T09:22:52.518Z,11.6975,95.0257,10.0,4.7,mb,72.0,57.0,4.726,0.68,us,us7000ndh5,2024-09-13T10:40:42.040Z,"248 km E of Port Blair, India",earthquake,8.64,1.847,0.074,56.0,reviewed,us,us
987,2024-09-13T08:23:57.459Z,-35.1626,-179.3358,13.248,5.0,mww,30.0,59.0,3.059,0.96,us,us7000ndgu,2024-10-01T12:26:15.040Z,east of the North Island of New Zealand,earthquake,13.53,5.678,0.075,17.0,reviewed,us,us
988,2024-09-13T07:49:50.957Z,21.6136,143.7938,190.411,4.5,mb,50.0,115.0,5.651,0.92,us,us7000ndgn,2024-09-13T08:23:52.040Z,Mariana Islands region,earthquake,11.76,8.461,0.071,58.0,reviewed,us,us
989,2024-09-13T06:33:49.388Z,4.5327,126.5069,79.356,5.1,mb,72.0,80.0,2.684,1.12,us,us7000ndg9,2024-09-13T06:50:46.040Z,"150 km SE of Sarangani, Philippines",earthquake,8.4,6.636,0.067,73.0,reviewed,us,us
990,2024-09-13T04:59:32.957Z,23.9065,121.7356,23.768,4.6,mb,51.0,78.0,0.651,0.76,us,us7000ndfw,2024-09-13T06:01:37.040Z,"15 km ESE of Hualien City, Taiwan",earthquake,2.45,5.293,0.096,32.0,reviewed,us,us
993,2024-09-13T02:42:20.449Z,-6.3182,130.4268,146.461,4.4,mb,28.0,104.0,1.858,0.74,us,us7000ndfg,2024-09-13T03:07:40.040Z,"268 km WSW of Tual, Indonesia",earthquake,11.09,8.591,0.117,21.0,reviewed,us,us
994,2024-09-13T02:03:01.744Z,-24.0842,-67.0799,185.421,4.5,mb,25.0,69.0,2.524,0.58,us,us7000ndf6,2024-09-13T02:18:38.040Z,"78 km W of San Antonio de los Cobres, Argentina",earthquake,4.96,11.432,0.15,13.0,reviewed,us,us
996,2024-09-12T23:51:25.685Z,-22.5521,-68.5046,106.858,4.7,mb,69.0,48.0,0.998,0.49,us,us7000ndee,2024-09-13T05:08:01.040Z,"44 km ESE of Calama, Chile",earthquake,5.92,7.292,0.079,50.0,reviewed,us,us
997,2024-09-12T23:48:14.614Z,30.9497,141.3197,20.975,5.2,mb,109.0,27.0,2.509,0.7,us,us7000nded,2024-09-30T12:23:56.040Z,"Izu Islands, Japan region",earthquake,8.2,3.857,0.03,376.0,reviewed,us,us
